id_categoria,descripcion,nombre,cantidad_de_productos
1,Wine - Cotes Du Rhone Parallele,Soothe,1585
2,Salad Dressing,LoKara,7235
3,Bread - Italian Roll With Herbs,Gabapentin,9816
4,"Butter - Salted, Micro",Warfarin Sodium,7549
5,Nougat - Paste / Cream,Icy Hot Medicated Roll Large,9588
6,Dry Ice,Anastrozole,7990
7,Monkfish Fresh - Skin Off,Premarin,6776
8,Fond - Neutral,Argentum Saccharum Special Order,0956
9,"Wine - Red, Cabernet Sauvignon",Oxygen,6762
10,"Rum - Coconut, Malibu",OXYGEN,8977
11,Cheese - Bocconcini,Oxcarbazepine,7223
12,Momiji Oroshi Chili Sauce,modafinil,5256
13,Bread - Calabrese Baguette,INDOMETHACIN,3609
14,Beans - Fava Fresh,Clearasil,1365
15,Cookies - Englishbay Oatmeal,Hydrogen Peroxide,5385
16,"Coffee - Beans, Whole",Clarithromycin,7075
17,Cake Slab,OXCARBAZEPINE,4190
18,Ecolab - Hand Soap Form Antibac,Citalopram,1246
19,"Capon - Breast, Double, Wing On",Warfarin Sodium,8946
20,Island Oasis - Wildberry,Monoket,4959
21,Bag Clear 10 Lb,voriconazole,5962
22,"Soup - Campbells, Cream Of",Sertraline Hydrochloride,2831
23,"Sauce - Apple, Unsweetened",Indomethacin,8135
24,"Veal - Shank, Pieces",JANUMET,5580
25,Flower - Commercial Bronze,Loperamide Hydrochloride,2261
26,Syrup - Chocolate,LANOXIN,8116
27,Cumin - Whole,Baby Magic Medicated Patty Cake,7033
28,Propel Sport Drink,Flu Relief Therapy Day Time,1139
29,Horseradish Root,Driminate,2192
30,Carrots - Mini Red Organic,Albuminar-5,7327
31,Longos - Chicken Cordon Bleu,acyclovir,6168
32,Sauce - Alfredo,Mafenide acetate,2242
33,Puree - Blackcurrant,ANTIBACTERIAL MINI WIPES Candy Apple,3951
34,Muffin Batt - Choc Chk,smart sense anti itch,1871
35,"Carrots - Purple, Organic",Bacitracin,8948
36,Muffin Mix - Blueberry,CHAPSTICK CLASSICS SPEARMINT,9987
37,Beef - Top Sirloin - Aaa,Zcaine Fast Acting Anesthetic,7607
38,"Beef - Rib Roast, Capless",Nitroglycerin Transdermal System,0637
39,Silicone Parch. 16.3x24.3,Repaglinide,9878
40,Crab - Imitation Flakes,Antibacterial Wet Wipes,4963
41,Tea - Lemon Green Tea,KENALOG-10,2911
42,Oil - Grapeseed Oil,Telmisartan and Amlodipine,7735
43,"Wine - Saint - Bris 2002, Sauv",Suave,7295
44,Pork - Smoked Kassler,Dial Country Orchard Antibacterial Soap,0483
45,Tuna - Bluefin,NATRUM MURIATICUM,8848
46,Ham - Cooked Italian,Metoprolol Tartrate,8249
47,"Bread - Bagels, Plain",Armour Thyroid,7039
48,"Turnip - White, Organic",Helium,3659
49,Nantucket - Orange Mango Cktl,LBEL COULEUR LUXE AMPLIFIER XP,9414
50,"Wine - White, French Cross",NEXICLEAR ACNE TREATMENT,2898
51,Wonton Wrappers,ELF Mineral Lip Tint SPF 8,7604
52,Bread - Raisin Walnut Pull,Methylprednisolone Acetate,8415
53,"Clams - Littleneck, Whole",Dry Scalp Care,1705
54,Bread Base - Toscano,CLONIDINE HYDROCHLORIDE,9251
55,Huck Towels White,Disulfiram,3231
56,Dooleys Toffee,PROTECTOR Alcohol Prep Pad,7091
57,Creme De Cacao Mcguines,TYLENOL SINUS,5922
58,Chervil - Fresh,Benzoin Compound Tincture,7737
59,Bagelers - Cinn / Brown,Ativan,1071
60,Wine - Penfolds Koonuga Hill,Xylocaine,3965
61,Juice - Orangina,ERYTHROMYCIN,5730
62,Daikon Radish,Head and Shoulders 2in1,6277
63,Jam - Apricot,Acnecycline,5038
64,Calvados - Boulard,Lisinopril and hydrochlorothiazide,9391
65,"Tortillas - Flour, 12",LBel Paris,3902
66,Sprouts - Bean,simvastatin,8931
67,Kaffir Lime Leaves,Hesol Rim,1923
68,Appetizer - Assorted Box,Mycophenolate Mofetil,0136
69,Isomalt,Olanzapine,7600
70,Tea - Herbal Sweet Dreams,Ovace,8011
71,Chef Hat 20cm,Allergies Southern US,9411
72,Mix - Cocktail Strawberry Daiquiri,12 Male Reproductive,4060
73,Wine - Marlbourough Sauv Blanc,Carisoprodol,8868
74,"Halibut - Whole, Fresh",Antibacterial Hand - Aloe Vera,4179
75,Contreau,miconazole 1,6177
76,Wine - Tribal Sauvignon,Hydrocortisone and Acetic Acid,2726
77,Broom And Brush Rack Black,AZACTAM,8890
78,Salmon - Canned,AllergyEase Mold,4506
79,"Cake Circle, Foil, Scallop",Teacher Collection Anti Bacterial,0408
80,"Wine - Red, Gamay Noir",Mucus Relief,9321
81,Rice - Long Grain,Asepso Gentle Antibacterial,5655
82,Cake - Mini Potato Pancake,Antiseptic Hand Sanitizer,1773
83,"Juice - Clam, 46 Oz",Cortizone 10 Cooling Relief,7621
84,"Bread - Sticks, Thin, Plain",Stool Softener,7924
85,"Melon - Watermelon, Seedless",Suprane,6970
86,"Wine - Red, Cabernet Sauvignon",MINIPRIN,9699
87,Brandy - Bar,Anti-Itch Extra Strength,9095
88,Wine - Redchard Merritt,Perfect Me Serum,2689
89,"Pasta - Shells, Medium, Dry",SIMPLY RIGHT BODY CARE,9195
90,Blackberries,Antibacterial Hand Sanitizer,8124
91,"Sparkling Wine - Rose, Freixenet",JALYN,9166
92,"Coconut - Shredded, Sweet",cold and flu relief,7405
93,Tofu - Firm,Potassium Chloride in Dextrose and Sodium Chloride,0925
94,Ice Cream Bar - Hagen Daz,ibuprofen,4301
95,Pastry - Chocolate Marble Tea,Arnica Stannum,7487
96,Pheasants - Whole,Tamsulosin Hydrochloride,7278
97,"Sauce - Soya, Dark",Calcarea Phos Kit Refill,9446
98,Mangostein,Kidney Tonic,9966
99,Juice - Ocean Spray Cranberry,ANTACID,3058
100,Caviar - Salmon,Major Redness Reliever Eye,6363
101,Pastry - Key Limepoppy Seed Tea,Citroma,8945
102,"Wine - White, Riesling, Semi - Dry",Bionatuss,5628
103,Lettuce - Lambs Mash,Thiothixene,6396
104,Straw - Regular,childrens ibuprofen,5087
105,Pepper - Orange,ASTH,7779
106,Cheese - Mozzarella,Pantene Pro-V Expert Collection,2620
107,Coffee Cup 12oz 5342cd,SuperPlus Beblesh Balm SPF25 PA 2Plus,4202
108,Table Cloth 90x90 White,Carbaphen Ped CH,3412
109,Oil - Safflower,Levothyroxine Sodium,4337
110,Milk - 1%,Aqua Maris Ear,4514
111,Cake - Cheese Cake 9 Inch,GONGJINHYANG SEOL WHITENING,9812
112,"Beef - Bones, Cut - Up",Sore Throat,5405
113,Wine - Sicilia Igt Nero Avola,CVS Pharmacy Dandruff,2099
114,"Lamb - Whole, Frozen",Citalopram,4295
115,Muffin - Mix - Bran And Maple 15l,Sulwhasoo Lumitouch Multi-Base,3886
116,Tomatoes - Orange,Sulfacetamide Sodium,1329
117,Juice - Apple 284ml,Metoclopramide,5787
118,"Bar Mix - Pina Colada, 355 Ml",No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Deeply Beige,7806
119,Pastry - Key Limepoppy Seed Tea,Pantoprazole,8961
120,"Yogurt - Strawberry, 175 Gr",ESIKA,4964
121,Wine - Duboeuf Beaujolais,Mineral Wear Talc-Free Correcting Primer,2934
122,"Sauce - Apple, Unsweetened",ALPHAGAN P,1540
123,Smoked Tongue,Cartia,2997
124,Tea - Mint,TISSEEL,6360
125,Grenadine,Amoxicillin and Clavulanate Potassium,0682
126,"Flour - Buckwheat, Dark",TIGAN,9494
127,Spice - Paprika,Quetiapine Fumarate,1729
128,Peas Snow,Isopropyl Alcohol,6169
129,Spinach - Baby,Nu Skin 180 Degree UV Block Hydrator SPF 18,8910
130,Sobe - Tropical Energy,Ribavirin,0445
131,"Wine - Niagara,vqa Reisling",Spherusol,3978
132,Otomegusa Dashi Konbu,Famciclovir,0598
133,Tart - Pecan Butter Squares,Epicoccum,1879
134,"Cheese - Romano, Grated",Tradjenta,7112
135,Mussels - Frozen,THE YEON LOTUS FLOWER BC CUSHION PACT,4855
136,Danishes - Mini Cheese,PAROXETINE,0702
137,"Turnip - White, Organic",Rejuvenate 2000 Athletic Formula For Women,3878
138,Mushroom - Crimini,MARVEL ULTIMATE SPIDER-MAN BERRY SCENTED ANTISEPTIC HAND CLEANSING,5700
139,"Bread - Pita, Mini",Strumeel Forte Rx Oral Drops,7077
140,"Yogurt - Raspberry, 175 Gr",Head and Shoulders Conditioner,0284
141,Couscous,lisinopril,0569
142,Sausage - Andouille,Gabapentin,2579
143,"Tart Shells - Barquettes, Savory",Levothyroxine Sodium,7009
144,Alize Sunset,Childrens Tylenol,5493
145,Trout Rainbow Whole,BYDUREON,7251
146,Apron,Broad Spectrum SPF 15,5166
147,Soup - Campbells Beef Noodle,Bisacody,2994
148,Cheese - Augre Des Champs,LISINOPRIL AND HYDROCHLOROTHIAZIDE,1734
149,Juice - Ocean Spray Cranberry,Botrytis cinerea,2314
150,"Beef - Bones, Marrow",Lidocaine,7926
151,Chicken - Base,Phenazopyridine HCl,0516
152,Tea Peppermint,shu uemura UV under base mousse,7346
153,Juice - Ocean Spray Cranberry,Good Sense Acid Reducer,7981
154,Soup - Campbells Mushroom,Duloxetine,6826
155,Steampan Lid,Captopril,2118
156,Cheese - Taleggio D.o.p.,Sweet Gum,2729
157,Salt - Celery,Olanzapine,0154
158,"Chestnuts - Whole,canned",SYNTHROID,0356
159,Sorrel - Fresh,BACITRACIN,9868
160,Canada Dry,Ibuprofen,5807
161,Broccoli - Fresh,Rayito de Sol Sunscreen SPF 6,7372
162,Yoghurt Tubes,Vitamin D3Dietary Supplemen,7776
163,Wood Chips - Regular,Cold and Allergy,1331
164,Garlic - Peeled,Sertraline Hydrochloride,9120
165,Rootbeer,elave Age Delay Daily Lip Defence,2499
166,Beer - Mcauslan Apricot,Dermasorb TA Complete Kit,3017
167,Wine - Blue Nun Qualitatswein,TUMS,3036
168,"Pasta - Cappellini, Dry",Allergy Relief,1867
169,Wine - Casillero Deldiablo,Moist SURE,9350
170,"Glass - Wine, Plastic, Clear 5 Oz",Ibuprofen,7465
171,Pimento - Canned,Little Remedies Little Colds Mucus Relief Expectorant Melt Aways,9249
172,"Flour - Buckwheat, Dark",Phosphorus 30,5071
173,The Pop Shoppe - Root Beer,Doxazosin,4009
174,Wine - Montecillo Rioja Crianza,Pharbest Regular Strength Aspirin,4344
175,Fennel,Se-Tan DHA,7722
176,Bag Clear 10 Lb,BLEPH-10,6713
177,Dried Apple,LBEL HYDRATESS,8179
178,Oven Mitt - 13 Inch,Abstral,6785
179,Wine - Cotes Du Rhone,Chloroquine,2424
180,Ice Cream - Turtles Stick Bar,Sure Original Solid Regular,6196
181,Cocoa Butter,CLINIQUE,6935
182,Container - Foam Dixie 12 Oz,MBM 5 Large Intestine,5971
183,Wine - Merlot Vina Carmen,Lusti Profesional Vaporizing Rub,6143
184,Ham - Cooked Italian,HydrALAZINE Hydrochloride,9674
185,Kirsch - Schloss,Growing Pains,5902
186,Salt And Pepper Mix - White,Helium Oxygen,4412
187,Extract - Raspberry,Thyroidinum,2809
188,Flour - Fast / Rapid,OCELLA,6798
189,"Oil - Shortening,liqud, Fry",Carelessweed,3327
190,Pepper - Jalapeno,Nutropin AQ NuSpin 5,4910
191,Bread - Olive,Allergies Southern US,2652
192,"Chicken - White Meat, No Tender",Fenofibric Acid,5515
193,Flour - Strong Pizza,Motion Sickness,2953
194,"Pasta - Orzo, Dry",NifedicalXL,7724
195,"Bread - Pita, Mini",Bambusa Pulsatilla,1772
196,Vol Au Vents,equate lice killing,6340
197,"Napkin - Beverge, White 2 - Ply",Sinus Congestion and Pain Severe Daytime,0283
198,Cheese - Cottage Cheese,Crinone,7815
199,Cleaner - Lime Away,Jardiance,1258
200,"Pasta - Elbows, Macaroni, Dry",lice treatment,9223
201,Compound - Passion Fruit,Tinted Moisturizer SPF-20 Golden Radiance,3371
202,Wine - Ej Gallo Sierra Valley,Mamma (sinistra) 6,5410
203,"Nut - Almond, Blanched, Sliced",Humulin,1363
204,Wood Chips - Regular,ARTREX,4040
205,"Flour - Buckwheat, Dark",Maracuja Miracle Foundation 12-Hour Foundation Broad Spectrum SPF 15 Sunscreen,3495
206,Mangostein,Coppertone KIDS,2623
207,Pie Pecan,Isopropyl Rubbing Alcohol 50%,9670
208,Onions - Pearl,Thyroid Rhythm,5289
209,Cake - Night And Day Choclate,Neutrogena Men,5150
210,Pepper - Scotch Bonnet,Paroxetine Hydrochloride,6027
211,Sugar - Fine,pain relief,6196
212,Onions - Spanish,TOPIRAMATE,0533
213,Tuna - Sushi Grade,BALD CYPRESS POLLEN,9843
214,Longos - Grilled Veg Sandwiches,Levetiracetam,0514
215,"Mop Head - Cotton, 24 Oz",Lombardy Poplar,7359
216,Huck White Towels,Wellness4Cough Syrup,3945
217,Mushroom - Morel Frozen,Soothing Respiratory Rub,0152
218,Wine - Masi Valpolocell,Pentoxifylline,9610
219,Pepper - Green Thai,American Crew Anti-Dandruff plus Sebum Control,5395
220,Tea - Mint,Anti-Bacterial Gentle Foaming Hand,5559
221,Calypso - Pineapple Passion,Biaxin,1708
222,Coffee Decaf Colombian,Broad Spectrum SPF 70 Sunscreen,2236
223,Raisin - Dark,PAROXETINE,1086
224,Pears - Anjou,Dicyclomine Hydrochloride,1427
225,Grapefruit - Pink,AMBIEN,7670
226,Oil - Shortening - All - Purpose,Protex Oats antibacterial,6073
227,Soup Knorr Chili With Beans,Spironolactone,0663
228,Bonito Flakes - Toku Katsuo,Clotrimazole,0068
229,Lentils - Green Le Puy,Minocycline Hydrochloride,4191
230,Paper Cocktail Umberlla 80 - 180,Saline Enema,4895
231,Tart - Butter Plain Squares,WALGREENS ORIGINAL EYE DROPS,7305
232,Silicone Parch. 16.3x24.3,Cockroach American,5712
233,Bread - Pita,ABILIFY,8243
234,Lid Coffee Cup 8oz Blk,Sore Throat,9638
235,Chicken - Leg / Back Attach,Moisturizing Hand Sanitizer,9003
236,Bacardi Breezer - Strawberry,berkley and jensen acetaminophen,6470
237,Oil - Cooking Spray,Meclizine Hydrochloride,8818
238,Cut Wakame - Hanawakaba,Diltiazem Hydrochloride,8979
239,"Mushroom - Chanterelle, Dry",Tramapap,5681
240,"Pasta - Lasagne, Fresh",Stay Awake,3706
241,Truffle Paste,Acyclovir,1395
242,Mince Meat - Filling,"Jason Healthy Mouth Anticavity ,Tartar Control Tea Tree Oil and Cinnamon",9193
243,Pastry - Chocolate Chip Muffin,Diclofenac Sodium,6775
244,Canadian Emmenthal,Citroma,9552
245,Beer - Sleemans Honey Brown,Amoxicillin,1299
246,Cheese - Brick With Onion,Cortizone 10,6696
247,Wiberg Super Cure,Mineral Ice,5424
248,Tea - Camomele,Ipratropium Bromide,5068
249,Fork - Plastic,Vancomycin,1130
250,Pork - Liver,Green MINT Mouth Rinse,9528
251,Pastry - Plain Baked Croissant,Famotidine,5522
252,Sausage - Liver,Secale Nicotiana,5975
253,Ice Cream Bar - Rolo Cone,topiramate,9473
254,Cake - Night And Day Choclate,Armodafinil,2864
255,"Trout - Rainbow, Frozen",PAROXETINE,5994
256,Lamb Rack - Ontario,Preferred Plus Loperamide Hydrochloride,6183
257,"7up Diet, 355 Ml",CANIS LUPUS FAMILIARIS SKIN,8579
258,Kellogs Cereal In A Cup,ANTI-AGING EYE SUNSCREEN BROAD SPECTRUM SPF 15,2852
259,Compound - Strawberry,Cephalexin,9595
260,Jello - Assorted,ARTHROTEC,0682
261,Milk - Buttermilk,Atenolol,7458
262,Dome Lid Clear P92008h,Pantoprazole Sodium,0676
263,"Lamb - Whole, Fresh",Quality Choice Maximum Strength Urinary Pain Relief,3550
264,"Corn - Cream, Canned",SUCRAID,8034
265,Flour - Bread,INDOCIN,7262
266,Wine - Zinfandel California 2002,Promethazine Hydrochloride,8135
267,Sobe - Cranberry Grapefruit,Oxygen,3200
268,Wine - Marlbourough Sauv Blanc,Lidocaine,6429
269,Wine - Alicanca Vinho Verde,Candida albicans,2595
270,Jerusalem Artichoke,healthy accents sinus,5717
271,Ecolab - Medallion,Secura Antifungal,2605
272,Tomatoes - Grape,Sarna,3504
273,Sauce - Balsamic Viniagrette,Revlimid,4475
274,Wine - Fat Bastard Merlot,Hydromorphone Hydrochloride,1212
275,Cheese - Pied De Vents,COCHLIOBOLUS SATIVUS,2030
276,Longos - Grilled Veg Sandwiches,CVS ATHLETES FOOT CREAM TOLNAFTATE,6998
277,Sprouts - China Rose,Tioconazole,1264
278,Mace Ground,Premier Value,9600
279,Appetizer - Mango Chevre,LANEIGE SATIN FINISH TWIN PACT NO. 23,0447
280,Ice Cream - Vanilla,Desipramine Hydrochloride,0849
281,Soup - French Onion,Alka-Seltzer Plus,7383
282,"Pasta - Bauletti, Chicken White",Nitrofurantoin Macrocrystals,3839
283,Oil - Olive Bertolli,Antiperspirant,2824
284,"Shrimp - Baby, Warm Water",Moisture Therapy,1290
285,Bread Sour Rolls,Desonide,6199
286,Lettuce Romaine Chopped,MycoCan-Chord,6163
287,Appetizer - Lobster Phyllo Roll,Dove Ultimate Go Fresh Refreshing,9325
288,Horseradish Root,FRAICHEUR VERVEINE ANTIPERSPIRANT AND DEODORANT ROLL-ON,1236
289,Lady Fingers,cetirizine hydrochloride,2488
290,"Pasta - Penne, Lisce, Dry",Hydrochlorothiazide,9980
291,Zucchini - Green,Cover Fx Blemish Treatment Concealer P Light,0807
292,Oranges,Cold Head Congestion Daytime Non-Drowsy,3895
293,Bread - Bistro White,Cinnamic Acid,5868
294,Bread - Granary Small Pull,Demerol,2826
295,Wine - Acient Coast Caberne,DNA,4590
296,"Nut - Peanut, Roasted",Neutrogena Clinical Lifting Wrinkle Treatment System,8642
297,Pasta - Orecchiette,childrens wal tap dm,6024
298,Energy Drink - Franks Pineapple,Cefdinir,5643
299,"Roe - Lump Fish, Red",Hydrochlorothiazide,0972
300,Pastry - Lemon Danish - Mini,lisinopril,0734
